trunc_label1,trunc1_original,trunc_label2,trunc1_derived,trunc_label3,specDisp_1,trunc_label1,trunc2_original,trunc_label2,trunc2_derived,trunc_label3,specDisp_2
Temperature,324.974,mass Fraction(%),1.23,Pass Limit,1.94,Temperature,449.987,mass Fraction(%),0.2,Pass Limit,0
Mass(mg),0.523519,Assay Fraction (%),98.77,Pass Spec,PASS,Mass(mg),0.0857505,Assay Fraction (%),99.8,Pass Spec,PASS
